user_id,department,date,meetings_attended,total_meeting_minutes,avg_participants
U098,Engineering,2025-01-01,0,47,5
U099,Sales,2025-01-01,7,154,8
U100,Finance,2025-01-01,4,72,6
U001,Engineering,2025-01-02,0,33,9
U002,Engineering,2025-01-02,2,60,5
U003,Engineering,2025-01-02,1,29,8
U004,Sales,2025-01-02,2,32,6
U005,Sales,2025-01-02,3,111,8
U006,Finance,2025-01-02,6,222,6
U007,Engineering,2025-01-02,7,189,5
U008,Sales,2025-01-02,5,285,6
U009,Marketing,2025-01-02,7,126,8
U010,Sales,2025-01-02,10,400,6
U011,HR,2025-01-02,6,144,4
U012,Finance,2025-01-02,4,84,8
U013,Sales,2025-01-02,5,90,8
U014,Sales,2025-01-02,4,160,8
U015,Sales,2025-01-02,4,96,10
U016,Engineering,2025-01-02,7,175,6
U017,HR,2025-01-02,6,156,6
U018,Sales,2025-01-02,3,102,8
U019,Sales,2025-01-02,4,168,6
U020,Engineering,2025-01-02,4,136,6
U021,Finance,2025-01-02,2,86,8
U022,Finance,2025-01-02,1,44,6
U023,Engineering,2025-01-02,5,130,11
U024,Finance,2025-01-02,3,102,8
U025,Marketing,2025-01-02,8,312,8
U026,Finance,2025-01-02,5,190,6
U027,Engineering,2025-01-02,7,224,4
U028,Engineering,2025-01-02,3,138,6
U029,Sales,2025-01-02,5,140,6
U030,Sales,2025-01-02,7,203,6
U031,Sales,2025-01-02,4,136,8
U032,HR,2025-01-02,5,145,4
U033,Engineering,2025-01-02,1,21,6
U034,Marketing,2025-01-02,2,84,7
U035,Finance,2025-01-02,2,62,6
U036,Engineering,2025-01-02,5,205,5
U037,Marketing,2025-01-02,1,43,6
U038,HR,2025-01-02,6,114,6
U039,Engineering,2025-01-02,6,222,7
U040,HR,2025-01-02,1,26,6
U041,Marketing,2025-01-02,4,136,7
U042,Marketing,2025-01-02,3,111,7
U043,HR,2025-01-02,8,192,4
U044,Engineering,2025-01-02,4,88,6
U045,Engineering,2025-01-02,5,155,8
U046,HR,2025-01-02,6,168,6
U047,Engineering,2025-01-02,4,104,6
U048,Engineering,2025-01-02,4,140,6
U049,Engineering,2025-01-02,6,180,6
U050,HR,2025-01-02,3,108,6
U051,Finance,2025-01-02,7,266,8
U052,HR,2025-01-02,9,216,6
U053,Marketing,2025-01-02,7,182,8
U054,Engineering,2025-01-02,2,68,6
U055,Engineering,2025-01-02,5,170,5
U056,Sales,2025-01-02,1,33,10
U057,Marketing,2025-01-02,6,276,7
U058,Marketing,2025-01-02,2,92,7
U059,Marketing,2025-01-02,9,135,9
U060,Engineering,2025-01-02,3,96,7
U061,Engineering,2025-01-02,2,58,5
U062,Marketing,2025-01-02,7,147,6
U063,Marketing,2025-01-02,4,60,7
U064,Engineering,2025-01-02,5,45,5
U065,Sales,2025-01-02,3,84,8
U066,Marketing,2025-01-02,3,78,6
U067,Engineering,2025-01-02,8,264,5
U068,Engineering,2025-01-02,3,84,4
U069,HR,2025-01-02,1,38,10
U070,Engineering,2025-01-02,7,294,8
U071,Engineering,2025-01-02,6,144,4
U072,Engineering,2025-01-02,2,50,7
U073,Marketing,2025-01-02,4,172,6
U074,Marketing,2025-01-02,6,132,8
U075,Sales,2025-01-02,7,329,8
U076,Engineering,2025-01-02,7,357,9
U077,Engineering,2025-01-02,4,108,8
U078,Engineering,2025-01-02,4,124,6
U079,Engineering,2025-01-02,3,102,6
U080,Sales,2025-01-02,7,126,8
U081,Sales,2025-01-02,5,255,8
U082,Sales,2025-01-02,10,90,6
U083,Marketing,2025-01-02,4,120,11
U084,Engineering,2025-01-02,5,135,5
U085,HR,2025-01-02,5,250,10
U086,Marketing,2025-01-02,4,124,5
U087,Sales,2025-01-02,6,96,8
U088,Engineering,2025-01-02,6,216,9
U089,Sales,2025-01-02,9,297,10
U090,Sales,2025-01-02,8,344,8
U091,Sales,2025-01-02,5,65,8
U092,Engineering,2025-01-02,8,320,8
U093,Engineering,2025-01-02,5,205,6
U094,Marketing,2025-01-02,9,216,6
U095,Finance,2025-01-02,8,168,6
U096,Sales,2025-01-02,2,48,6
U097,Engineering,2025-01-02,0,41,6
U098,Engineering,2025-01-02,5,190,4
U099,Sales,2025-01-02,6,150,6
U100,Finance,2025-01-02,4,156,8
U001,Engineering,2025-01-03,3,129,4
U002,Engineering,2025-01-03,6,162,5
U003,Engineering,2025-01-03,0,42,7
U004,Sales,2025-01-03,0,26,8
U005,Sales,2025-01-03,6,162,6
U006,Finance,2025-01-03,8,232,6
U007,Engineering,2025-01-03,5,165,9
U008,Sales,2025-01-03,8,72,6
U009,Marketing,2025-01-03,9,171,7
U010,Sales,2025-01-03,8,56,6
U011,HR,2025-01-03,3,108,6
U012,Finance,2025-01-03,5,215,8
U013,Sales,2025-01-03,5,225,8
U014,Sales,2025-01-03,2,20,8
U015,Sales,2025-01-03,4,124,6
U016,Engineering,2025-01-03,3,54,5
U017,HR,2025-01-03,1,16,6
U018,Sales,2025-01-03,8,192,10
U019,Sales,2025-01-03,7,119,6
U020,Engineering,2025-01-03,3,150,6
U021,Finance,2025-01-03,2,30,4
U022,Finance,2025-01-03,9,180,6
U023,Engineering,2025-01-03,5,140,8
U024,Finance,2025-01-03,4,120,6
U025,Marketing,2025-01-03,2,60,6
U026,Finance,2025-01-03,4,72,6
U027,Engineering,2025-01-03,7,224,7
U028,Engineering,2025-01-03,2,66,7
U029,Sales,2025-01-03,2,74,8
U030,Sales,2025-01-03,2,56,6
U031,Sales,2025-01-03,10,390,8
U032,HR,2025-01-03,2,32,8
U033,Engineering,2025-01-03,6,258,6
U034,Marketing,2025-01-03,5,190,7
U035,Finance,2025-01-03,5,165,6
U036,Engineering,2025-01-03,5,175,5
U037,Marketing,2025-01-03,7,280,7
U038,HR,2025-01-03,4,152,6
U039,Engineering,2025-01-03,1,19,4
U040,HR,2025-01-03,6,246,6
U041,Marketing,2025-01-03,3,96,8
U042,Marketing,2025-01-03,4,168,6
U043,HR,2025-01-03,6,204,6
U044,Engineering,2025-01-03,4,80,7
U045,Engineering,2025-01-03,3,57,8
U046,HR,2025-01-03,6,204,10
U047,Engineering,2025-01-03,9,369,7
U048,Engineering,2025-01-03,4,60,6
U049,Engineering,2025-01-03,4,108,5
U050,HR,2025-01-03,2,82,4
U051,Finance,2025-01-03,5,130,6
U052,HR,2025-01-03,9,432,10
U053,Marketing,2025-01-03,4,148,5
U054,Engineering,2025-01-03,4,168,4
U055,Engineering,2025-01-03,5,115,4
U056,Sales,2025-01-03,5,240,8
U057,Marketing,2025-01-03,6,228,8
U058,Marketing,2025-01-03,3,102,7
U059,Marketing,2025-01-03,4,152,6
U060,Engineering,2025-01-03,5,165,5
U061,Engineering,2025-01-03,2,88,7
U062,Marketing,2025-01-03,7,210,6
U063,Marketing,2025-01-03,4,112,7
U064,Engineering,2025-01-03,2,58,5
U065,Sales,2025-01-03,8,264,8
U066,Marketing,2025-01-03,5,155,8
U067,Engineering,2025-01-03,5,60,7
U068,Engineering,2025-01-03,4,168,4
U069,HR,2025-01-03,6,126,6
U070,Engineering,2025-01-03,6,156,6
U071,Engineering,2025-01-03,4,108,5
U072,Engineering,2025-01-03,5,190,6
U073,Marketing,2025-01-03,9,81,7
U074,Marketing,2025-01-03,1,17,6
U075,Sales,2025-01-03,6,330,6
U076,Engineering,2025-01-03,6,264,4
U077,Engineering,2025-01-03,7,336,8
U078,Engineering,2025-01-03,3,84,5
U079,Engineering,2025-01-03,3,129,6
U080,Sales,2025-01-03,5,140,6
U081,Sales,2025-01-03,10,260,6
U082,Sales,2025-01-03,8,96,8
U083,Marketing,2025-01-03,8,240,6
U084,Engineering,2025-01-03,2,56,5
U085,HR,2025-01-03,5,40,6
U086,Marketing,2025-01-03,10,210,7
U087,Sales,2025-01-03,9,243,10
U088,Engineering,2025-01-03,3,57,5
U089,Sales,2025-01-03,10,380,6
U090,Sales,2025-01-03,7,189,12
U091,Sales,2025-01-03,10,330,6
U092,Engineering,2025-01-03,3,126,5
U093,Engineering,2025-01-03,7,238,6
U094,Marketing,2025-01-03,5,85,6
U095,Finance,2025-01-03,3,111,10
U096,Sales,2025-01-03,7,175,6
U097,Engineering,2025-01-03,3,42,5
U098,Engineering,2025-01-03,4,112,7
U099,Sales,2025-01-03,7,245,8
U100,Finance,2025-01-03,7,238,6
U001,Engineering,2025-01-04,1,14,5
U002,Engineering,2025-01-04,2,62,6
U003,Engineering,2025-01-04,2,80,7
U004,Sales,2025-01-04,1,24,6
U005,Sales,2025-01-04,3,90,8
U006,Finance,2025-01-04,4,124,6
U007,Engineering,2025-01-04,2,64,4
U008,Sales,2025-01-04,2,84,6
U009,Marketing,2025-01-04,2,64,5
U010,Sales,2025-01-04,3,51,8
U011,HR,2025-01-04,0,20,4
U012,Finance,2025-01-04,1,33,6
U013,Sales,2025-01-04,2,20,10
U014,Sales,2025-01-04,1,30,8
U015,Sales,2025-01-04,3,93,8
U016,Engineering,2025-01-04,1,35,7
U017,HR,2025-01-04,4,104,6
U018,Sales,2025-01-04,2,62,10
U019,Sales,2025-01-04,2,46,6
U020,Engineering,2025-01-04,3,69,6
U021,Finance,2025-01-04,0,40,8
U022,Finance,2025-01-04,0,25,6
U023,Engineering,2025-01-04,2,68,6
U024,Finance,2025-01-04,1,42,10
U025,Marketing,2025-01-04,3,141,12
U026,Finance,2025-01-04,2,90,6
U027,Engineering,2025-01-04,2,48,6
U028,Engineering,2025-01-04,1,15,7
U029,Sales,2025-01-04,1,27,6
U030,Sales,2025-01-04,4,104,8
U031,Sales,2025-01-04,1,30,8
U032,HR,2025-01-04,0,28,4
U033,Engineering,2025-01-04,0,29,6
U034,Marketing,2025-01-04,4,48,7
U035,Finance,2025-01-04,1,34,6
U036,Engineering,2025-01-04,2,98,7
U037,Marketing,2025-01-04,1,48,10
U038,HR,2025-01-04,0,36,6
U039,Engineering,2025-01-04,2,74,6
U040,HR,2025-01-04,2,44,6
U041,Marketing,2025-01-04,0,26,9
U042,Marketing,2025-01-04,0,53,9
U043,HR,2025-01-04,0,34,8
U044,Engineering,2025-01-04,2,86,7
U045,Engineering,2025-01-04,0,31,5
U046,HR,2025-01-04,3,108,8
U047,Engineering,2025-01-04,1,38,6
U048,Engineering,2025-01-04,3,111,5
U049,Engineering,2025-01-04,3,60,4
U050,HR,2025-01-04,0,28,8
U051,Finance,2025-01-04,2,104,8
U052,HR,2025-01-04,2,60,6
U053,Marketing,2025-01-04,1,43,6
U054,Engineering,2025-01-04,5,145,6
U055,Engineering,2025-01-04,1,18,8
U056,Sales,2025-01-04,3,66,8
U057,Marketing,2025-01-04,4,60,7
U058,Marketing,2025-01-04,0,12,7
U059,Marketing,2025-01-04,0,27,5
U060,Engineering,2025-01-04,0,23,5
U061,Engineering,2025-01-04,4,64,5
U062,Marketing,2025-01-04,1,22,6
U063,Marketing,2025-01-04,0,24,7
U064,Engineering,2025-01-04,3,105,6
U065,Sales,2025-01-04,2,70,8
U066,Marketing,2025-01-04,3,93,5
U067,Engineering,2025-01-04,0,40,6
U068,Engineering,2025-01-04,4,124,4
U069,HR,2025-01-04,2,66,6
U070,Engineering,2025-01-04,1,20,5
U071,Engineering,2025-01-04,3,69,9
U072,Engineering,2025-01-04,1,29,7
U073,Marketing,2025-01-04,3,78,7
U074,Marketing,2025-01-04,1,48,8
U075,Sales,2025-01-04,2,72,10
U076,Engineering,2025-01-04,0,37,6
U077,Engineering,2025-01-04,1,29,6
U078,Engineering,2025-01-04,0,34,9
U079,Engineering,2025-01-04,4,184,6
U080,Sales,2025-01-04,1,23,8
U081,Sales,2025-01-04,3,129,8
U082,Sales,2025-01-04,2,30,6
U083,Marketing,2025-01-04,2,72,7
U084,Engineering,2025-01-04,1,40,4
U085,HR,2025-01-04,4,160,6
U086,Marketing,2025-01-04,3,120,6
U087,Sales,2025-01-04,2,32,8
U088,Engineering,2025-01-04,2,54,7
U089,Sales,2025-01-04,0,46,10
U090,Sales,2025-01-04,2,82,8
U091,Sales,2025-01-04,2,48,6
U092,Engineering,2025-01-04,1,23,7
U093,Engineering,2025-01-04,1,35,4
U094,Marketing,2025-01-04,4,116,9
U095,Finance,2025-01-04,2,56,6
U096,Sales,2025-01-04,3,69,6
U097,Engineering,2025-01-04,5,165,6
U098,Engineering,2025-01-04,1,39,6
U099,Sales,2025-01-04,1,30,8
U100,Finance,2025-01-04,1,37,8
U001,Engineering,2025-01-05,2,60,6
U002,Engineering,2025-01-05,4,228,6
U003,Engineering,2025-01-05,2,74,6
U004,Sales,2025-01-05,1,44,6
U005,Sales,2025-01-05,7,98,6
U006,Finance,2025-01-05,6,144,8
U007,Engineering,2025-01-05,2,56,6
U008,Sales,2025-01-05,1,22,10
U009,Marketing,2025-01-05,6,54,10
U010,Sales,2025-01-05,3,81,6
U011,HR,2025-01-05,2,92,6
U012,Finance,2025-01-05,3,105,6
U013,Sales,2025-01-05,2,70,8
U014,Sales,2025-01-05,3,120,8
U015,Sales,2025-01-05,1,28,12
U016,Engineering,2025-01-05,3,126,6
U017,HR,2025-01-05,0,31,6
U018,Sales,2025-01-05,1,37,8
U019,Sales,2025-01-05,2,40,8
U020,Engineering,2025-01-05,0,31,6
U021,Finance,2025-01-05,1,34,8
U022,Finance,2025-01-05,4,92,6
U023,Engineering,2025-01-05,2,38,10
U024,Finance,2025-01-05,3,42,8
U025,Marketing,2025-01-05,1,34,6
U026,Finance,2025-01-05,2,64,6
U027,Engineering,2025-01-05,1,39,4
U028,Engineering,2025-01-05,2,72,4
U029,Sales,2025-01-05,3,150,6
U030,Sales,2025-01-05,3,99,8
U031,Sales,2025-01-05,1,39,6
U032,HR,2025-01-05,1,34,4
U033,Engineering,2025-01-05,2,64,8
U034,Marketing,2025-01-05,2,52,8
U035,Finance,2025-01-05,1,36,4
U036,Engineering,2025-01-05,3,93,6
U037,Marketing,2025-01-05,3,60,6
U038,HR,2025-01-05,7,224,6
U039,Engineering,2025-01-05,2,38,4
U040,HR,2025-01-05,1,32,14
U041,Marketing,2025-01-05,1,41,8
U042,Marketing,2025-01-05,3,111,7
U043,HR,2025-01-05,2,34,8
U044,Engineering,2025-01-05,2,30,6
U045,Engineering,2025-01-05,2,12,6
U046,HR,2025-01-05,4,104,8
U047,Engineering,2025-01-05,0,30,5
U048,Engineering,2025-01-05,2,24,6
U049,Engineering,2025-01-05,2,48,5
U050,HR,2025-01-05,1,12,8
U051,Finance,2025-01-05,4,92,6
U052,HR,2025-01-05,1,42,8
U053,Marketing,2025-01-05,3,93,9
U054,Engineering,2025-01-05,4,184,4
U055,Engineering,2025-01-05,1,37,7
U056,Sales,2025-01-05,1,25,8
U057,Marketing,2025-01-05,0,46,8
U058,Marketing,2025-01-05,2,78,8
U059,Marketing,2025-01-05,1,13,9
U060,Engineering,2025-01-05,4,104,5
U061,Engineering,2025-01-05,0,23,8
U062,Marketing,2025-01-05,2,56,6
U063,Marketing,2025-01-05,3,99,5
U064,Engineering,2025-01-05,3,123,8
U065,Sales,2025-01-05,3,99,10
U066,Marketing,2025-01-05,3,81,8
U067,Engineering,2025-01-05,2,78,6
U068,Engineering,2025-01-05,3,81,8
U069,HR,2025-01-05,3,108,6
U070,Engineering,2025-01-05,1,28,5
U071,Engineering,2025-01-05,1,43,6
U072,Engineering,2025-01-05,4,124,7
U073,Marketing,2025-01-05,4,96,6
U074,Marketing,2025-01-05,0,17,5
U075,Sales,2025-01-05,1,31,6
U076,Engineering,2025-01-05,2,50,4
U077,Engineering,2025-01-05,1,44,5
U078,Engineering,2025-01-05,2,72,7
U079,Engineering,2025-01-05,1,33,5
U080,Sales,2025-01-05,1,27,6
U081,Sales,2025-01-05,2,72,10
U082,Sales,2025-01-05,6,120,8
U083,Marketing,2025-01-05,1,10,9
U084,Engineering,2025-01-05,0,17,5
U085,HR,2025-01-05,1,31,6
U086,Marketing,2025-01-05,2,102,7
U087,Sales,2025-01-05,1,41,10
U088,Engineering,2025-01-05,2,64,7
U089,Sales,2025-01-05,4,108,10
U090,Sales,2025-01-05,3,81,8
U091,Sales,2025-01-05,1,30,6
U092,Engineering,2025-01-05,4,112,7
U093,Engineering,2025-01-05,2,88,10
U094,Marketing,2025-01-05,3,39,5
U095,Finance,2025-01-05,2,82,6
U096,Sales,2025-01-05,5,130,6
U097,Engineering,2025-01-05,1,18,5
U098,Engineering,2025-01-05,3,72,5
U099,Sales,2025-01-05,5,145,6
U100,Finance,2025-01-05,2,86,6
U001,Engineering,2025-01-06,4,92,4
U002,Engineering,2025-01-06,4,180,7
U003,Engineering,2025-01-06,4,96,6
U004,Sales,2025-01-06,4,176,6
U005,Sales,2025-01-06,6,162,8
U006,Finance,2025-01-06,5,265,6
U007,Engineering,2025-01-06,1,38,7
U008,Sales,2025-01-06,8,224,6
U009,Marketing,2025-01-06,3,144,6
U010,Sales,2025-01-06,8,256,6
U011,HR,2025-01-06,8,152,8
U012,Finance,2025-01-06,5,135,6
U013,Sales,2025-01-06,6,96,6
U014,Sales,2025-01-06,7,126,6
U015,Sales,2025-01-06,3,120,6
U016,Engineering,2025-01-06,4,132,6
U017,HR,2025-01-06,10,220,6
U018,Sales,2025-01-06,3,105,6
U019,Sales,2025-01-06,7,154,6
U020,Engineering,2025-01-06,2,66,5
U021,Finance,2025-01-06,2,66,8
U022,Finance,2025-01-06,3,117,8
U023,Engineering,2025-01-06,7,35,9
U024,Finance,2025-01-06,1,35,8
U025,Marketing,2025-01-06,3,132,9
U026,Finance,2025-01-06,6,264,8
U027,Engineering,2025-01-06,4,156,7
U028,Engineering,2025-01-06,5,150,6
U029,Sales,2025-01-06,6,174,8
U030,Sales,2025-01-06,4,40,6
U031,Sales,2025-01-06,5,110,8
U032,HR,2025-01-06,8,216,8
U033,Engineering,2025-01-06,2,32,5
U034,Marketing,2025-01-06,4,48,9
U035,Finance,2025-01-06,6,138,10
U036,Engineering,2025-01-06,3,42,5
U037,Marketing,2025-01-06,4,116,10
U038,HR,2025-01-06,5,70,6
U039,Engineering,2025-01-06,1,33,5
U040,HR,2025-01-06,8,184,4
U041,Marketing,2025-01-06,5,105,7
U042,Marketing,2025-01-06,6,162,8
U043,HR,2025-01-06,11,275,8
U044,Engineering,2025-01-06,4,128,5
U045,Engineering,2025-01-06,0,28,5
U046,HR,2025-01-06,3,84,6
U047,Engineering,2025-01-06,5,120,6
U048,Engineering,2025-01-06,5,110,4
U049,Engineering,2025-01-06,8,264,4
U050,HR,2025-01-06,3,78,8
U051,Finance,2025-01-06,8,56,6
U052,HR,2025-01-06,12,324,6
U053,Marketing,2025-01-06,6,156,6
U054,Engineering,2025-01-06,3,114,4
U055,Engineering,2025-01-06,3,135,7
U056,Sales,2025-01-06,7,385,6
U057,Marketing,2025-01-06,4,96,9
U058,Marketing,2025-01-06,5,190,6
U059,Marketing,2025-01-06,4,148,6
U060,Engineering,2025-01-06,4,48,6
U061,Engineering,2025-01-06,6,60,6
U062,Marketing,2025-01-06,1,9,8
U063,Marketing,2025-01-06,2,62,7
U064,Engineering,2025-01-06,3,69,5
U065,Sales,2025-01-06,3,129,8
U066,Marketing,2025-01-06,9,234,8
U067,Engineering,2025-01-06,4,176,6
U068,Engineering,2025-01-06,3,108,5
U069,HR,2025-01-06,2,102,10
U070,Engineering,2025-01-06,1,7,6
U071,Engineering,2025-01-06,6,234,7
U072,Engineering,2025-01-06,5,130,5
U073,Marketing,2025-01-06,4,136,6
U074,Marketing,2025-01-06,6,216,8
U075,Sales,2025-01-06,6,138,10
U076,Engineering,2025-01-06,6,114,5
U077,Engineering,2025-01-06,5,225,4
U078,Engineering,2025-01-06,2,70,5
U079,Engineering,2025-01-06,0,41,4
U080,Sales,2025-01-06,2,90,8
U081,Sales,2025-01-06,4,228,8
U082,Sales,2025-01-06,8,272,8
U083,Marketing,2025-01-06,5,115,9
U084,Engineering,2025-01-06,5,165,8
U085,HR,2025-01-06,5,210,6
U086,Marketing,2025-01-06,3,78,5
U087,Sales,2025-01-06,6,138,8
U088,Engineering,2025-01-06,5,50,7
U089,Sales,2025-01-06,4,128,6
U090,Sales,2025-01-06,2,58,8
U091,Sales,2025-01-06,7,182,6
U092,Engineering,2025-01-06,4,148,5
U093,Engineering,2025-01-06,2,62,8
U094,Marketing,2025-01-06,7,252,9
U095,Finance,2025-01-06,3,180,6
U096,Sales,2025-01-06,3,126,6
U097,Engineering,2025-01-06,4,128,5
U098,Engineering,2025-01-06,4,124,4
U099,Sales,2025-01-06,3,78,8
U100,Finance,2025-01-06,4,128,6
U001,Engineering,2025-01-07,5,100,8
U002,Engineering,2025-01-07,7,217,6
U003,Engineering,2025-01-07,7,91,6
U004,Sales,2025-01-07,3,123,8
U005,Sales,2025-01-07,8,384,6
U006,Finance,2025-01-07,2,48,8
U007,Engineering,2025-01-07,4,76,6
U008,Sales,2025-01-07,7,133,8
U009,Marketing,2025-01-07,7,252,5
U010,Sales,2025-01-07,9,324,8
U011,HR,2025-01-07,5,200,6
U012,Finance,2025-01-07,3,27,6
U013,Sales,2025-01-07,5,220,6
U014,Sales,2025-01-07,8,224,6
U015,Sales,2025-01-07,4,164,6
U016,Engineering,2025-01-07,6,294,4
U017,HR,2025-01-07,10,260,4
U018,Sales,2025-01-07,5,175,8
U019,Sales,2025-01-07,7,182,8
U020,Engineering,2025-01-07,4,108,9
U021,Finance,2025-01-07,6,276,6
U022,Finance,2025-01-07,4,112,6
U023,Engineering,2025-01-07,0,39,5
U024,Finance,2025-01-07,5,185,6
U025,Marketing,2025-01-07,1,44,8
U026,Finance,2025-01-07,5,255,8
U027,Engineering,2025-01-07,5,185,7
U028,Engineering,2025-01-07,2,82,6
U029,Sales,2025-01-07,7,336,6
U030,Sales,2025-01-07,9,324,8
U031,Sales,2025-01-07,7,140,8
U032,HR,2025-01-07,5,230,8
U033,Engineering,2025-01-07,3,99,9
U034,Marketing,2025-01-07,6,282,6
U035,Finance,2025-01-07,4,20,6
U036,Engineering,2025-01-07,4,184,6
U037,Marketing,2025-01-07,5,185,9
U038,HR,2025-01-07,3,93,4
U039,Engineering,2025-01-07,6,240,7
U040,HR,2025-01-07,3,129,6
U041,Marketing,2025-01-07,5,195,7
U042,Marketing,2025-01-07,5,195,5
U043,HR,2025-01-07,7,147,4
U044,Engineering,2025-01-07,4,72,5
U045,Engineering,2025-01-07,1,13,6
U046,HR,2025-01-07,7,308,6
U047,Engineering,2025-01-07,5,135,6
U048,Engineering,2025-01-07,4,100,6
U049,Engineering,2025-01-07,5,155,6
U050,HR,2025-01-07,6,228,6
U051,Finance,2025-01-07,3,57,6
U052,HR,2025-01-07,4,124,4
U053,Marketing,2025-01-07,1,45,7
U054,Engineering,2025-01-07,4,96,6
U055,Engineering,2025-01-07,3,159,6
U056,Sales,2025-01-07,8,320,8
U057,Marketing,2025-01-07,8,208,6
U058,Marketing,2025-01-07,9,324,8
U059,Marketing,2025-01-07,3,90,7
U060,Engineering,2025-01-07,2,62,8
U061,Engineering,2025-01-07,0,27,6
U062,Marketing,2025-01-07,4,116,5
U063,Marketing,2025-01-07,7,224,6
U064,Engineering,2025-01-07,3,69,7
U065,Sales,2025-01-07,3,81,10
U066,Marketing,2025-01-07,4,168,5
U067,Engineering,2025-01-07,7,203,6
U068,Engineering,2025-01-07,1,52,8
U069,HR,2025-01-07,10,380,6
U070,Engineering,2025-01-07,5,135,6
U071,Engineering,2025-01-07,8,232,6
U072,Engineering,2025-01-07,5,120,5
U073,Marketing,2025-01-07,3,102,7
U074,Marketing,2025-01-07,6,180,8
U075,Sales,2025-01-07,5,145,6
U076,Engineering,2025-01-07,5,200,4
U077,Engineering,2025-01-07,3,72,6
U078,Engineering,2025-01-07,1,27,4
U079,Engineering,2025-01-07,4,92,5
U080,Sales,2025-01-07,6,174,8
U081,Sales,2025-01-07,6,174,6
