user_id,department,date,emails_sent,emails_received,avg_response_time_min,threads_initiated
U052,HR,2025-01-02,4,11,36.6,2
U053,Marketing,2025-01-02,6,7,23.0,4
U054,Engineering,2025-01-02,7,11,57.0,3
U055,Engineering,2025-01-02,3,10,16.1,1
U056,Sales,2025-01-02,10,19,15.8,2
U057,Marketing,2025-01-02,20,16,22.2,6
U058,Marketing,2025-01-02,10,16,20.9,4
U059,Marketing,2025-01-02,10,14,39.7,4
U060,Engineering,2025-01-02,3,13,22.3,2
U061,Engineering,2025-01-02,8,8,43.1,2
U062,Marketing,2025-01-02,4,10,10.5,3
U063,Marketing,2025-01-02,12,20,19.0,3
U064,Engineering,2025-01-02,2,8,32.2,2
U065,Sales,2025-01-02,6,17,9.9,2
U066,Marketing,2025-01-02,7,9,34.4,2
U067,Engineering,2025-01-02,4,16,20.4,1
U068,Engineering,2025-01-02,4,10,26.0,1
U069,HR,2025-01-02,3,11,36.0,2
U070,Engineering,2025-01-02,11,10,20.7,3
U071,Engineering,2025-01-02,12,19,10.6,3
U072,Engineering,2025-01-02,7,10,25.7,2
U073,Marketing,2025-01-02,9,13,20.5,3
U074,Marketing,2025-01-02,5,11,10.0,2
U075,Sales,2025-01-02,12,26,16.9,5
U076,Engineering,2025-01-02,8,14,23.9,2
U077,Engineering,2025-01-02,7,14,80.6,2
U078,Engineering,2025-01-02,8,11,75.5,5
U079,Engineering,2025-01-02,4,14,17.1,4
U080,Sales,2025-01-02,3,15,23.3,2
U081,Sales,2025-01-02,7,13,30.8,2
U082,Sales,2025-01-02,4,10,17.5,2
U083,Marketing,2025-01-02,12,17,47.8,4
U084,Engineering,2025-01-02,7,13,23.5,3
U085,HR,2025-01-02,7,17,15.4,2
U086,Marketing,2025-01-02,10,11,30.3,4
U087,Sales,2025-01-02,5,17,28.6,2
U088,Engineering,2025-01-02,6,17,25.1,2
U089,Sales,2025-01-02,6,16,15.4,2
U090,Sales,2025-01-02,7,14,55.1,3
U091,Sales,2025-01-02,11,14,74.9,4
U092,Engineering,2025-01-02,8,16,30.0,2
U093,Engineering,2025-01-02,6,11,24.8,2
U094,Marketing,2025-01-02,6,13,14.7,2
U095,Finance,2025-01-02,12,12,15.0,3
U096,Sales,2025-01-02,6,16,37.7,2
U097,Engineering,2025-01-02,4,3,21.7,2
U098,Engineering,2025-01-02,6,18,18.2,4
U099,Sales,2025-01-02,10,19,8.1,4
U100,Finance,2025-01-02,8,17,34.1,3
U001,Engineering,2025-01-03,5,13,25.0,1
U002,Engineering,2025-01-03,7,13,53.1,2
U003,Engineering,2025-01-03,5,16,32.9,2
U004,Sales,2025-01-03,6,20,13.0,2
U005,Sales,2025-01-03,11,14,11.5,3
U006,Finance,2025-01-03,9,17,40.2,2
U007,Engineering,2025-01-03,10,12,15.1,4
U008,Sales,2025-01-03,13,17,36.8,4
U009,Marketing,2025-01-03,9,14,23.0,2
U010,Sales,2025-01-03,9,24,49.4,2
U011,HR,2025-01-03,3,6,17.3,1
U012,Finance,2025-01-03,5,13,46.3,3
U013,Sales,2025-01-03,10,15,18.6,4
U014,Sales,2025-01-03,10,10,19.5,4
U015,Sales,2025-01-03,13,18,5.5,3
U016,Engineering,2025-01-03,8,6,53.6,2
U017,HR,2025-01-03,5,12,26.3,2
U018,Sales,2025-01-03,9,21,21.6,3
U019,Sales,2025-01-03,10,18,28.5,4
U020,Engineering,2025-01-03,1,10,16.0,2
U021,Finance,2025-01-03,6,8,18.4,4
U022,Finance,2025-01-03,7,11,24.8,2
U023,Engineering,2025-01-03,4,13,23.2,3
U024,Finance,2025-01-03,6,12,24.0,2
U025,Marketing,2025-01-03,8,9,37.5,3
U026,Finance,2025-01-03,5,15,15.3,1
U027,Engineering,2025-01-03,12,12,46.4,3
U028,Engineering,2025-01-03,5,13,15.1,2
U029,Sales,2025-01-03,10,25,25.8,2
U030,Sales,2025-01-03,13,20,24.7,4
U031,Sales,2025-01-03,9,20,13.2,5
U032,HR,2025-01-03,8,21,12.5,3
U033,Engineering,2025-01-03,8,6,44.9,5
U034,Marketing,2025-01-03,15,22,28.5,4
U035,Finance,2025-01-03,11,12,18.6,4
U036,Engineering,2025-01-03,7,8,18.1,2
U037,Marketing,2025-01-03,8,12,25.7,2
U038,HR,2025-01-03,3,16,16.4,1
U039,Engineering,2025-01-03,2,8,13.4,4
U040,HR,2025-01-03,7,14,11.3,4
U041,Marketing,2025-01-03,14,13,11.9,4
U042,Marketing,2025-01-03,2,11,12.7,2
U043,HR,2025-01-03,6,13,22.1,2
U044,Engineering,2025-01-03,6,10,10.7,4
U045,Engineering,2025-01-03,5,12,17.4,1
U046,HR,2025-01-03,7,12,21.7,4
U047,Engineering,2025-01-03,7,9,31.6,5
U048,Engineering,2025-01-03,4,7,25.0,1
U049,Engineering,2025-01-03,2,12,9.5,2
U050,HR,2025-01-03,6,12,32.5,6
U051,Finance,2025-01-03,5,11,25.2,3
U052,HR,2025-01-03,5,11,29.2,1
U053,Marketing,2025-01-03,10,14,23.9,2
U054,Engineering,2025-01-03,12,11,47.1,4
U055,Engineering,2025-01-03,7,15,19.4,2
U056,Sales,2025-01-03,13,23,22.4,6
U057,Marketing,2025-01-03,8,12,10.2,2
U058,Marketing,2025-01-03,6,20,23.4,2
U059,Marketing,2025-01-03,8,7,53.2,2
U060,Engineering,2025-01-03,4,24,31.2,2
U061,Engineering,2025-01-03,3,11,19.0,1
U062,Marketing,2025-01-03,9,18,15.9,3
U063,Marketing,2025-01-03,9,10,25.0,3
U064,Engineering,2025-01-03,3,11,26.6,2
U065,Sales,2025-01-03,12,18,23.3,4
U066,Marketing,2025-01-03,9,11,31.0,2
U067,Engineering,2025-01-03,4,19,33.4,2
U068,Engineering,2025-01-03,5,13,25.7,1
U069,HR,2025-01-03,4,13,29.4,2
U070,Engineering,2025-01-03,5,10,8.8,3
U071,Engineering,2025-01-03,7,18,39.4,5
U072,Engineering,2025-01-03,11,12,53.0,3
U073,Marketing,2025-01-03,6,8,34.7,2
U074,Marketing,2025-01-03,10,14,22.9,2
U075,Sales,2025-01-03,11,23,24.8,4
U076,Engineering,2025-01-03,5,14,50.6,2
U077,Engineering,2025-01-03,10,12,55.4,6
U078,Engineering,2025-01-03,11,10,22.3,3
U079,Engineering,2025-01-03,5,14,38.7,3
U080,Sales,2025-01-03,13,18,27.7,6
U081,Sales,2025-01-03,12,19,18.4,6
U082,Sales,2025-01-03,10,15,11.4,4
U083,Marketing,2025-01-03,4,16,20.4,1
U084,Engineering,2025-01-03,4,9,13.5,1
U085,HR,2025-01-03,2,11,9.4,0
U086,Marketing,2025-01-03,7,17,13.7,2
U087,Sales,2025-01-03,12,28,10.2,4
U088,Engineering,2025-01-03,6,13,23.0,2
U089,Sales,2025-01-03,6,27,18.4,4
U090,Sales,2025-01-03,11,24,22.0,3
U091,Sales,2025-01-03,8,19,24.5,2
U092,Engineering,2025-01-03,9,11,15.0,3
U093,Engineering,2025-01-03,4,7,26.8,2
U094,Marketing,2025-01-03,8,19,37.0,4
U095,Finance,2025-01-03,7,16,22.9,3
U096,Sales,2025-01-03,9,11,10.5,2
U097,Engineering,2025-01-03,4,10,40.8,3
U098,Engineering,2025-01-03,5,17,18.8,3
U099,Sales,2025-01-03,13,14,6.9,3
U100,Finance,2025-01-03,5,8,39.1,4
U001,Engineering,2025-01-04,1,9,46.5,1
U002,Engineering,2025-01-04,3,10,15.5,1
U003,Engineering,2025-01-04,1,8,21.5,1
U004,Sales,2025-01-04,7,9,13.4,6
U005,Sales,2025-01-04,5,24,11.0,4
U006,Finance,2025-01-04,1,10,28.8,3
U007,Engineering,2025-01-04,4,8,24.4,1
U008,Sales,2025-01-04,3,16,8.6,2
U009,Marketing,2025-01-04,4,16,14.2,2
U010,Sales,2025-01-04,3,18,12.7,4
U011,HR,2025-01-04,4,11,16.9,3
U012,Finance,2025-01-04,2,13,20.1,2
U013,Sales,2025-01-04,4,21,12.6,1
U014,Sales,2025-01-04,3,20,12.0,1
U015,Sales,2025-01-04,3,13,49.2,2
U016,Engineering,2025-01-04,3,14,26.7,2
U017,HR,2025-01-04,0,8,54.9,1
U018,Sales,2025-01-04,3,12,28.9,2
U019,Sales,2025-01-04,2,18,31.9,2
U020,Engineering,2025-01-04,2,13,50.8,2
U021,Finance,2025-01-04,5,12,18.3,2
U022,Finance,2025-01-04,2,14,13.5,4
U023,Engineering,2025-01-04,2,18,11.9,2
U024,Finance,2025-01-04,2,13,9.6,2
U025,Marketing,2025-01-04,6,12,30.3,2
U026,Finance,2025-01-04,3,6,21.3,2
U027,Engineering,2025-01-04,4,15,40.4,1
U028,Engineering,2025-01-04,5,11,27.9,1
U029,Sales,2025-01-04,4,12,29.6,1
U030,Sales,2025-01-04,4,15,23.9,2
U031,Sales,2025-01-04,4,12,21.1,1
U032,HR,2025-01-04,2,12,39.9,0
U033,Engineering,2025-01-04,1,5,34.8,0
U034,Marketing,2025-01-04,2,19,24.1,0
U035,Finance,2025-01-04,2,9,34.3,0
U036,Engineering,2025-01-04,0,10,20.3,1
U037,Marketing,2025-01-04,3,11,25.2,1
U038,HR,2025-01-04,3,10,25.0,2
U039,Engineering,2025-01-04,0,9,17.0,4
U040,HR,2025-01-04,1,8,21.9,1
U041,Marketing,2025-01-04,2,15,20.2,0
U042,Marketing,2025-01-04,1,12,17.2,2
U043,HR,2025-01-04,3,9,27.7,1
U044,Engineering,2025-01-04,3,8,30.5,1
U045,Engineering,2025-01-04,3,8,17.0,4
U046,HR,2025-01-04,3,10,19.0,1
U047,Engineering,2025-01-04,2,10,45.9,0
U048,Engineering,2025-01-04,2,14,20.9,2
U049,Engineering,2025-01-04,1,9,15.4,1
U050,HR,2025-01-04,1,6,33.7,1
U051,Finance,2025-01-04,3,11,13.5,4
U052,HR,2025-01-04,2,8,21.1,0
U053,Marketing,2025-01-04,3,8,41.6,2
U054,Engineering,2025-01-04,2,10,14.5,0
U055,Engineering,2025-01-04,1,3,36.7,0
U056,Sales,2025-01-04,5,20,5.6,2
U057,Marketing,2025-01-04,3,14,33.3,2
U058,Marketing,2025-01-04,4,12,25.4,3
U059,Marketing,2025-01-04,5,15,48.2,1
U060,Engineering,2025-01-04,3,7,62.5,3
U061,Engineering,2025-01-04,3,14,15.4,2
U062,Marketing,2025-01-04,2,11,38.1,0
U063,Marketing,2025-01-04,4,16,29.5,2
U064,Engineering,2025-01-04,0,11,21.5,0
U065,Sales,2025-01-04,5,20,9.4,3
U066,Marketing,2025-01-04,0,13,15.8,2
U067,Engineering,2025-01-04,3,12,15.0,2
U068,Engineering,2025-01-04,3,14,85.7,1
U069,HR,2025-01-04,3,10,22.4,3
U070,Engineering,2025-01-04,1,9,21.0,3
U071,Engineering,2025-01-04,1,7,42.3,1
U072,Engineering,2025-01-04,3,13,18.5,1
U073,Marketing,2025-01-04,3,9,24.9,1
U074,Marketing,2025-01-04,2,7,25.7,0
U075,Sales,2025-01-04,5,10,43.0,1
U076,Engineering,2025-01-04,0,9,29.4,1
U077,Engineering,2025-01-04,0,8,51.7,2
U078,Engineering,2025-01-04,2,12,13.2,2
U079,Engineering,2025-01-04,2,14,36.2,2
U080,Sales,2025-01-04,5,19,7.3,2
U081,Sales,2025-01-04,4,10,13.7,2
U082,Sales,2025-01-04,5,18,24.7,1
U083,Marketing,2025-01-04,0,14,24.6,0
U084,Engineering,2025-01-04,2,10,16.6,0
U085,HR,2025-01-04,0,11,73.2,1
U086,Marketing,2025-01-04,2,21,14.1,4
U087,Sales,2025-01-04,4,14,14.2,2
U088,Engineering,2025-01-04,1,9,34.9,1
U089,Sales,2025-01-04,3,18,43.6,2
U090,Sales,2025-01-04,4,14,24.9,1
U091,Sales,2025-01-04,2,17,16.9,2
U092,Engineering,2025-01-04,2,15,36.9,2
U093,Engineering,2025-01-04,2,17,31.9,0
U094,Marketing,2025-01-04,6,23,37.7,2
U095,Finance,2025-01-04,2,12,8.9,2
U096,Sales,2025-01-04,5,19,18.1,1
U097,Engineering,2025-01-04,1,11,28.4,3
U098,Engineering,2025-01-04,1,9,43.1,0
U099,Sales,2025-01-04,8,12,20.5,2
U100,Finance,2025-01-04,3,9,42.3,3
U001,Engineering,2025-01-05,1,18,21.6,3
U002,Engineering,2025-01-05,2,7,46.0,0
U003,Engineering,2025-01-05,1,10,12.8,0
U004,Sales,2025-01-05,6,14,15.0,2
U005,Sales,2025-01-05,3,14,12.7,2
U006,Finance,2025-01-05,1,10,29.0,0
U007,Engineering,2025-01-05,4,13,16.2,4
U008,Sales,2025-01-05,4,12,10.3,1
U009,Marketing,2025-01-05,7,16,32.0,3
U010,Sales,2025-01-05,5,16,12.2,1
U011,HR,2025-01-05,4,9,87.9,3
U012,Finance,2025-01-05,2,16,53.0,0
U013,Sales,2025-01-05,1,14,16.6,1
U014,Sales,2025-01-05,7,16,28.8,4
U015,Sales,2025-01-05,3,13,5.1,2
U016,Engineering,2025-01-05,3,13,20.0,2
U017,HR,2025-01-05,2,17,8.8,2
U018,Sales,2025-01-05,7,15,17.5,4
U019,Sales,2025-01-05,6,16,29.6,4
U020,Engineering,2025-01-05,2,6,12.1,2
U021,Finance,2025-01-05,3,11,52.0,2
U022,Finance,2025-01-05,4,10,12.3,1
U023,Engineering,2025-01-05,6,15,27.7,2
U024,Finance,2025-01-05,2,9,15.2,2
U025,Marketing,2025-01-05,5,9,35.6,1
U026,Finance,2025-01-05,1,8,19.4,2
U027,Engineering,2025-01-05,2,10,29.8,2
U028,Engineering,2025-01-05,4,6,21.9,3
U029,Sales,2025-01-05,7,21,12.3,2
U030,Sales,2025-01-05,4,22,18.2,1
U031,Sales,2025-01-05,3,19,18.7,2
U032,HR,2025-01-05,5,10,23.5,1
U033,Engineering,2025-01-05,6,9,18.4,2
U034,Marketing,2025-01-05,4,15,13.2,4
U035,Finance,2025-01-05,1,10,30.5,0
U036,Engineering,2025-01-05,2,9,21.0,2
U037,Marketing,2025-01-05,3,14,18.7,1
U038,HR,2025-01-05,1,9,23.9,4
U039,Engineering,2025-01-05,3,15,28.4,1
U040,HR,2025-01-05,4,12,31.0,1
U041,Marketing,2025-01-05,5,19,17.5,4
U042,Marketing,2025-01-05,2,10,11.2,0
U043,HR,2025-01-05,4,8,34.5,2
U044,Engineering,2025-01-05,4,11,25.9,1
U045,Engineering,2025-01-05,1,5,38.0,3
U046,HR,2025-01-05,2,8,16.8,2
U047,Engineering,2025-01-05,3,9,32.2,3
U048,Engineering,2025-01-05,0,13,18.0,1
U049,Engineering,2025-01-05,2,12,21.3,2
U050,HR,2025-01-05,2,9,20.8,2
U051,Finance,2025-01-05,5,9,24.1,3
U052,HR,2025-01-05,1,9,52.4,2
U053,Marketing,2025-01-05,3,10,21.5,1
U054,Engineering,2025-01-05,3,16,16.3,3
U055,Engineering,2025-01-05,1,10,72.1,2
U056,Sales,2025-01-05,2,12,9.8,2
U057,Marketing,2025-01-05,5,14,39.6,4
U058,Marketing,2025-01-05,0,11,20.7,0
U059,Marketing,2025-01-05,7,16,69.1,3
U060,Engineering,2025-01-05,3,9,53.0,1
U061,Engineering,2025-01-05,0,7,20.4,1
U062,Marketing,2025-01-05,1,8,51.1,0
U063,Marketing,2025-01-05,5,12,12.1,4
U064,Engineering,2025-01-05,3,7,17.5,4
U065,Sales,2025-01-05,1,14,19.9,0
U066,Marketing,2025-01-05,3,15,6.7,1
U067,Engineering,2025-01-05,0,13,41.9,0
U068,Engineering,2025-01-05,2,10,45.5,2
U069,HR,2025-01-05,3,9,53.9,1
U070,Engineering,2025-01-05,3,8,35.5,3
U071,Engineering,2025-01-05,1,5,29.3,0
U072,Engineering,2025-01-05,2,15,49.1,0
U073,Marketing,2025-01-05,3,11,18.5,2
U074,Marketing,2025-01-05,2,23,30.4,2
U075,Sales,2025-01-05,4,18,28.5,2
U076,Engineering,2025-01-05,2,11,26.2,2
U077,Engineering,2025-01-05,2,10,51.8,2
U078,Engineering,2025-01-05,2,11,34.1,0
U079,Engineering,2025-01-05,3,16,21.0,2
U080,Sales,2025-01-05,1,16,26.7,0
U081,Sales,2025-01-05,2,17,18.0,2
U082,Sales,2025-01-05,2,17,12.3,2
U083,Marketing,2025-01-05,3,12,17.3,1
U084,Engineering,2025-01-05,2,8,29.0,2
U085,HR,2025-01-05,3,11,19.9,2
U086,Marketing,2025-01-05,7,15,15.1,3
U087,Sales,2025-01-05,5,14,36.2,2
U088,Engineering,2025-01-05,4,6,60.1,2
U089,Sales,2025-01-05,3,15,38.9,2
U090,Sales,2025-01-05,8,15,13.2,4
U091,Sales,2025-01-05,1,10,27.6,1
U092,Engineering,2025-01-05,1,6,35.3,1
U093,Engineering,2025-01-05,0,7,16.5,0
U094,Marketing,2025-01-05,2,21,55.0,2
U095,Finance,2025-01-05,5,11,26.9,2
U096,Sales,2025-01-05,7,15,16.8,3
U097,Engineering,2025-01-05,2,16,20.7,2
U098,Engineering,2025-01-05,3,12,19.2,1
U099,Sales,2025-01-05,2,12,34.5,0
U100,Finance,2025-01-05,2,10,61.5,2
U001,Engineering,2025-01-06,1,9,24.4,0
U002,Engineering,2025-01-06,6,9,18.2,2
U003,Engineering,2025-01-06,9,17,32.8,2
U004,Sales,2025-01-06,8,14,9.5,3
U005,Sales,2025-01-06,11,17,23.0,4
U006,Finance,2025-01-06,5,15,12.0,3
U007,Engineering,2025-01-06,6,17,40.9,2
U008,Sales,2025-01-06,11,18,18.6,3
U009,Marketing,2025-01-06,8,13,21.3,4
U010,Sales,2025-01-06,11,15,19.2,4
U011,HR,2025-01-06,2,8,32.1,2
U012,Finance,2025-01-06,4,10,21.6,3
U013,Sales,2025-01-06,12,19,19.8,3
U014,Sales,2025-01-06,5,27,12.5,1
U015,Sales,2025-01-06,11,11,24.7,4
U016,Engineering,2025-01-06,6,11,25.1,2
U017,HR,2025-01-06,5,6,11.5,1
U018,Sales,2025-01-06,12,12,27.9,3
U019,Sales,2025-01-06,14,17,25.1,6
U020,Engineering,2025-01-06,8,13,27.7,2
U021,Finance,2025-01-06,4,10,17.8,2
U022,Finance,2025-01-06,8,13,31.5,3
U023,Engineering,2025-01-06,7,10,51.8,3
U024,Finance,2025-01-06,6,6,33.0,2
U025,Marketing,2025-01-06,14,19,28.9,4
U026,Finance,2025-01-06,8,18,33.2,4
U027,Engineering,2025-01-06,2,19,24.0,0
U028,Engineering,2025-01-06,9,14,37.5,4
U029,Sales,2025-01-06,7,18,14.1,2
U030,Sales,2025-01-06,18,18,18.1,4
U031,Sales,2025-01-06,9,9,27.6,2
U032,HR,2025-01-06,5,9,58.0,3
U033,Engineering,2025-01-06,5,12,47.4,3
U034,Marketing,2025-01-06,6,13,22.6,2
U035,Finance,2025-01-06,4,10,12.0,2
U036,Engineering,2025-01-06,7,14,55.6,6
U037,Marketing,2025-01-06,10,11,25.9,2
U038,HR,2025-01-06,2,16,12.8,2
U039,Engineering,2025-01-06,15,10,40.2,9
U040,HR,2025-01-06,3,7,35.8,2
U041,Marketing,2025-01-06,13,13,34.1,3
U042,Marketing,2025-01-06,6,10,16.1,2
U043,HR,2025-01-06,2,7,40.4,0
U044,Engineering,2025-01-06,7,7,38.1,2
U045,Engineering,2025-01-06,4,12,23.0,2
U046,HR,2025-01-06,6,13,50.1,2
U047,Engineering,2025-01-06,6,14,8.4,2
U048,Engineering,2025-01-06,6,10,7.7,2
U049,Engineering,2025-01-06,4,13,21.3,2
U050,HR,2025-01-06,2,8,21.5,0
U051,Finance,2025-01-06,9,14,18.3,2
U052,HR,2025-01-06,5,12,23.8,1
U053,Marketing,2025-01-06,6,19,41.1,2
U054,Engineering,2025-01-06,10,22,33.2,2
U055,Engineering,2025-01-06,8,9,22.1,3
U056,Sales,2025-01-06,8,18,68.0,3
U057,Marketing,2025-01-06,10,12,20.7,4
U058,Marketing,2025-01-06,10,22,17.1,2
U059,Marketing,2025-01-06,4,13,48.4,1
U060,Engineering,2025-01-06,2,13,48.4,2
U061,Engineering,2025-01-06,10,9,23.7,6
U062,Marketing,2025-01-06,7,12,23.7,4
U063,Marketing,2025-01-06,4,15,23.8,1
U064,Engineering,2025-01-06,5,8,28.6,3
U065,Sales,2025-01-06,7,15,21.6,3
U066,Marketing,2025-01-06,11,24,21.0,4
U067,Engineering,2025-01-06,6,15,30.4,2
U068,Engineering,2025-01-06,9,20,57.5,4
U069,HR,2025-01-06,3,12,22.9,3
U070,Engineering,2025-01-06,5,12,45.4,2
